app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/code,weather/icon,wind_dir,wind_gust_spd,wind_spd
3.4,339.33,59,-6.3,0,0,-42.56,0,n,0,1018.6,final,39,1019.6,0,0,6.7,2018-04-01T00:00:00,2018-04-01T04:00:00,1522555200,0,16,Broken clouds,803,c03n,195,5.9,5.25
3.3,344.46,68,-5.9,0,0,-43.07,0,n,0,1018.44995,final,40,1019.4125,0,0,6.7,2018-04-01T00:15:00,2018-04-01T04:15:00,1522556100,0,16,Broken clouds,803,c03n,195,6.1,5.4
3.2,349.58,78,-5.6,0,0,-43.59,0,n,0,1018.3,final,41,1019.225,0,0,6.7,2018-04-01T00:30:00,2018-04-01T04:30:00,1522557000,0,16,Overcast clouds,804,c04n,200,6.3,5.55
3.2,354.71,87,-5.3,0,0,-44.1,0,n,0,1018.15,final,42,1019.0375,0,0,6.7,2018-04-01T00:45:00,2018-04-01T04:45:00,1522557900,0,16,Overcast clouds,804,c04n,200,6.5,5.7
3.3,359.83,90,-5,0,0,-44.61,0,n,0,1018,final,43,1018.85,0,0,6.7,2018-04-01T01:00:00,2018-04-01T05:00:00,1522558800,0,16,Overcast clouds,804,c04n,200,6.2,5.42
3.4,274.96,93,-4.7,0,0,-44.11,0,n,0,1017.85,final,44,1018.6625,0,0,6.7,2018-04-01T01:15:00,2018-04-01T05:15:00,1522559700,0,16,Overcast clouds,804,c04n,195,5.8,5.15
3.5,190.09,96,-4.7,0,0,-43.6,0,n,0,1017.7,final,44,1018.475,0,0,6.7,2018-04-01T01:30:00,2018-04-01T05:30:00,1522560600,0,16,Overcast clouds,804,c04n,195,5.5,4.87
3.7,105.21,100,-4.4,0,0,-43.1,0,n,0,1017.55005,final,45,1018.2875,0,0,6.7,2018-04-01T01:45:00,2018-04-01T05:45:00,1522561500,0,16,Overcast clouds,804,c04n,190,5.1,4.59
3.7,20.34,100,-4.1,0,0,-42.59,0,n,0,1017.4,final,46,1018.1,0,0,6.7,2018-04-01T02:00:00,2018-04-01T06:00:00,1522562400,0,16,Overcast clouds,804,c04n,190,5.1,4.59
3.6,24.86,100,-3.5,0,0,-41.19,0,n,0.25,1017.17505,final,48,1017.89996,0,0,6.7,2018-04-01T02:15:00,2018-04-01T06:15:00,1522563300,0,16,Overcast clouds,804,c04n,190,5.3,4.76
3.5,29.39,100,-3,0,0,-39.78,0,n,0.5,1016.95,final,50,1017.69995,0,0,6.7,2018-04-01T02:30:00,2018-04-01T06:30:00,1522564200,0,16,Overcast clouds,804,c04n,190,5.5,4.93
3.4,33.91,100,-2.7,0,0,-38.38,0,n,1,1016.725,final,51,1017.5,0,0,6.7,2018-04-01T02:45:00,2018-04-01T06:45:00,1522565100,0,16,Light rain,500,r01n,190,5.7,5.09
3.6,38.43,100,-2.2,0,0,-36.97,0,n,1.5,1016.5,final,53,1017.3,0,0,6.7,2018-04-01T03:00:00,2018-04-01T07:00:00,1522566000,0,16,Light rain,500,r01n,195,5.3,4.72
3.8,42.16,100,-1.9,0,0,-34.92,0,n,1.25,1016.175,final,54,1017.025,0,0,6.7,2018-04-01T03:15:00,2018-04-01T07:15:00,1522566900,0,16,Light rain,500,r01n,195,4.8,4.34
4,45.9,100,-1.9,0,0,-32.88,0,n,1,1015.85,final,54,1016.75,0,0,6.7,2018-04-01T03:30:00,2018-04-01T07:30:00,1522567800,0,16,Light rain,500,r01n,200,4.4,3.97
4.2,49.63,100,-1.9,0,0,-30.83,0,n,0.5,1015.525,final,54,1016.475,0,0,6.7,2018-04-01T03:45:00,2018-04-01T07:45:00,1522568700,0,16,Overcast clouds,804,c04n,200,3.9,3.6
4.3,53.36,100,-1.6,0,0,-28.78,0,n,0,1015.2,final,55,1016.2,0,0,6.8,2018-04-01T04:00:00,2018-04-01T08:00:00,1522569600,0,16,Overcast clouds,804,c04n,205,3.9,3.6
4.5,56.45,100,-1.5,0,0,-26.33,0,n,0.5,1015.1,final,55,1016.1,0,0,7,2018-04-01T04:15:00,2018-04-01T08:15:00,1522570500,0,16,Overcast clouds,804,c04n,210,3.9,3.6
4.6,59.54,100,-1.3,0,0,-23.87,0,n,1,1015,final,55,1016,0,0,7.1,2018-04-01T04:30:00,2018-04-01T08:30:00,1522571400,0,16,Light rain,500,r01n,215,3.9,3.6
