app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/code,weather/icon,weather/description,wind_dir,wind_gust_spd,wind_spd
24.4,342.72,91,19.9,0,0,-29.6,0,n,0,1017.9,final,78,1019,0,0,24,2018-08-01T00:00:00,2018-08-01T04:00:00,1533096000,0,16,804,c04n,Overcast clouds,130,3.9,3.59
24.4,346.83,95,20.1,0,0,-30.05,0,n,0,1017.8375,final,79,1018.9125,0,0,23.9,2018-08-01T00:15:00,2018-08-01T04:15:00,1533096900,0,16,804,c04n,Overcast clouds,130,3.3,3.1
24.4,350.95,100,20.2,0,0,-30.51,0,n,0,1017.775,final,80,1018.825,0,0,23.9,2018-08-01T00:30:00,2018-08-01T04:30:00,1533097800,0,16,804,c04n,Overcast clouds,130,2.8,2.6
24.5,355.06,100,20.4,0,0,-30.96,0,n,0.25,1017.7125,final,81,1018.73755,0,0,23.9,2018-08-01T00:45:00,2018-08-01T04:45:00,1533098700,0,16,804,c04n,Overcast clouds,120,3.9,3.6
24.6,359.17,100,20.8,0,0,-31.41,0,n,0.5,1017.65,final,82,1018.65,0,0,24,2018-08-01T01:00:00,2018-08-01T05:00:00,1533099600,0,16,804,c04n,Overcast clouds,125,3.6,3.35
24.8,273.3,100,20.9,0,0,-31.05,0,n,0.25,1017.5875,final,82,1018.5625,0,0,24.1,2018-08-01T01:15:00,2018-08-01T05:15:00,1533100500,0,16,804,c04n,Overcast clouds,125,3.3,3.1
24.9,187.43,100,21.2,0,0,-30.68,0,n,0,1017.525,final,83,1018.475,0,0,24.3,2018-08-01T01:30:00,2018-08-01T05:30:00,1533101400,0,16,804,c04n,Overcast clouds,130,3.1,2.85
25.1,101.56,100,21.5,0,0,-30.32,0,n,0,1017.4625,final,84,1018.3875,0,0,24.4,2018-08-01T01:45:00,2018-08-01T05:45:00,1533102300,0,16,804,c04n,Overcast clouds,130,2.8,2.6
25.1,15.69,100,21.5,0,0,-29.95,0,n,0,1017.4,final,84,1018.3,0,0,24.4,2018-08-01T02:00:00,2018-08-01T06:00:00,1533103200,0,16,804,c04n,Overcast clouds,130,2.8,2.6
25.1,19.52,100,21.7,0,0,-28.82,0,n,0,1017.35004,final,85,1018.3,0,0,24.4,2018-08-01T02:15:00,2018-08-01T06:15:00,1533104100,0,16,804,c04n,Overcast clouds,135,2.8,2.6
25.1,23.35,100,21.9,0,0,-27.7,0,n,0,1017.30005,final,86,1018.3,0,0,24.4,2018-08-01T02:30:00,2018-08-01T06:30:00,1533105000,0,16,804,c04n,Overcast clouds,135,2.8,2.6
25.1,27.17,100,21.9,0,0,-26.57,0,n,0,1017.25,final,86,1018.3,0,0,24.4,2018-08-01T02:45:00,2018-08-01T06:45:00,1533105900,0,16,804,c04n,Overcast clouds,140,2.8,2.6
25.2,31,100,22.1,0,0,-25.44,0,n,0,1017.2,final,87,1018.3,0,0,24.4,2018-08-01T03:00:00,2018-08-01T07:00:00,1533106800,0,16,804,c04n,Overcast clouds,140,2.6,2.47
25.2,34.36,100,22.3,0,0,-23.7,0,n,0,1017.2,final,88,1018.225,0,0,24.4,2018-08-01T03:15:00,2018-08-01T07:15:00,1533107700,0,16,804,c04n,Overcast clouds,140,2.5,2.35
25.2,37.73,100,22.3,0,0,-21.96,0,n,0,1017.2,final,88,1018.15,0,0,24.4,2018-08-01T03:30:00,2018-08-01T07:30:00,1533108600,0,16,804,c04n,Overcast clouds,140,2.3,2.22
25.2,41.09,100,22.5,0,0,-20.22,0,n,0,1017.2,final,89,1018.075,0,0,24.4,2018-08-01T03:45:00,2018-08-01T07:45:00,1533109500,0,16,804,c04n,Overcast clouds,140,2.2,2.1
25.4,44.45,100,22.8,0,0,-18.48,0,n,0,1017.2,final,90,1018,0,0,24.5,2018-08-01T04:00:00,2018-08-01T08:00:00,1533110400,0,16,804,c04n,Overcast clouds,140,2.2,2.1
25.5,47.36,100,22.8,0,0,-16.29,0,n,0.125,1017.2,final,89,1018.025,0,0,24.7,2018-08-01T04:15:00,2018-08-01T08:15:00,1533111300,0,16,804,c04n,Overcast clouds,140,2.2,2.1
25.7,50.28,100,22.7,0,0,-14.11,0,n,0.25,1017.2,final,88,1018.05,0,0,24.9,2018-08-01T04:30:00,2018-08-01T08:30:00,1533112200,0,16,804,c04n,Overcast clouds,140,2.2,2.1
25.9,53.19,100,22.9,0,0,-11.92,0,n,0.375,1017.2,final,88,1018.07495,0,0,25,2018-08-01T04:45:00,2018-08-01T08:45:00,1533113100,0,16,804,c04n,Overcast clouds,140,2.2,2.1
25.7,56.1,100,22.5,0,0,-9.73,0,n,0.5,1017.2,final,87,1018.1,0,0,24.9,2018-08-01T05:00:00,2018-08-01T09:00:00,1533114000,0,16,804,c04n,Overcast clouds,140,2.3,2.22
25.5,58.67,100,22.6,1.62,3.6,-7.24,0.4,d,8.25,1017.2,final,88,1018.0675,0,1,24.7,2018-08-01T05:15:00,2018-08-01T09:15:00,1533114900,0,16,202,t03n,Thunderstorm with heavy rain,135,2.5,2.35
25.3,61.24,100,22.4,3.25,7.21,-4.75,0.9,d,16.5,1017.2,final,88,1018.035,0,2,24.5,2018-08-01T05:30:00,2018-08-01T09:30:00,1533115800,0,16,202,t03n,Thunderstorm with heavy rain,135,2.6,2.47
25.2,63.8,100,22.5,4.87,10.81,-2.26,1.3,d,8.25,1017.2,final,89,1018.00244,0,3,24.4,2018-08-01T05:45:00,2018-08-01T09:45:00,1533116700,0,16,202,t03n,Thunderstorm with heavy rain,130,2.8,2.6
25.2,66.37,100,22.7,6.49,14.41,0.23,1.7,d,0.5,1017.2,final,90,1017.97,0,6,24.4,2018-08-01T06:00:00,2018-08-01T10:00:00,1533117600,0.5,16,804,c04n,Overcast clouds,130,2.2,2.1
25.3,68.74,95,23,18.42,132.39,2.92,36,d,0.75,1017.125,final,92,1017.935,0,24,24.4,2018-08-01T06:15:00,2018-08-01T10:15:00,1533118500,0.6,14,500,r01n,Light rain,125,2.4,2.26
25.4,71.1,91,23.4,30.35,250.36,5.6,70.2,d,1,1017.05005,final,94,1017.9,0,49,24.4,2018-08-01T06:30:00,2018-08-01T10:30:00,1533119400,0.7,13,500,r01d,Light rain,115,2.6,2.43
25.4,73.47,87,23.5,42.27,368.34,8.29,104.5,d,1.5,1016.97504,final,95,1017.865,0,74,24.4,2018-08-01T06:45:00,2018-08-01T10:45:00,1533120300,0.7,11,500,r01d,Light rain,110,2.8,2.6
25.4,75.83,100,23.9,54.2,486.31,10.97,138.8,d,3,1016.9,final,97,1017.83,0,45,24.4,2018-08-01T07:00:00,2018-08-01T11:00:00,1533121200,0.6,11,500,r01d,Light rain,120,1.6,1.5
25.4,78.15,100,23.9,60.42,534.7,13.77,186.3,d,1.5,1016.95,final,97,1017.7975,0,55,24.4,2018-08-01T07:15:00,2018-08-01T11:15:00,1533122100,0.6,13,500,r01d,Light rain,120,1.9,1.86
25.4,80.46,100,23.9,66.64,583.09,16.57,233.9,d,1.75,1017,final,97,1017.765,0,60,24.4,2018-08-01T07:30:00,2018-08-01T11:30:00,1533123000,0.6,14,500,r01d,Light rain,125,2.4,2.23
25.4,82.78,100,23.9,72.85,631.48,19.37,281.5,d,1.875,1017.05,final,97,1017.73254,0,66,24.4,2018-08-01T07:45:00,2018-08-01T11:45:00,1533123900,0.7,16,500,r01d,Light rain,125,2.8,2.6
25.4,85.09,100,23.9,79.07,679.87,22.17,329.1,d,2,1017.1,final,97,1017.7,0,71,24.4,2018-08-01T08:00:00,2018-08-01T12:00:00,1533124800,0.7,16,500,r01d,Light rain,125,2.8,2.6
25.4,87.55,100,23.9,83.27,706.1,25.01,377.6,d,2,1016.94995,final,97,1017.625,0,76,24.4,2018-08-01T08:15:00,2018-08-01T12:15:00,1533125700,0.8,12,500,r01d,Light rain,125,3.1,2.93
25.4,90,100,23.9,87.47,732.33,27.85,426.1,d,2,1016.8,final,97,1017.55005,0,81,24.4,2018-08-01T08:30:00,2018-08-01T12:30:00,1533126600,0.9,8,500,r01d,Light rain,130,3.5,3.26
25.4,92.46,100,23.9,91.66,758.55,30.69,474.5,d,2,1016.65,final,97,1017.47504,0,85,24.4,2018-08-01T08:45:00,2018-08-01T12:45:00,1533127500,1,4,500,r01d,Light rain,130,3.9,3.6
25.6,94.91,100,24,95.86,784.78,33.53,523,d,2,1016.5,final,97,1017.4,0,90,24.5,2018-08-01T09:00:00,2018-08-01T13:00:00,1533128400,1.1,7,500,r01d,Light rain,135,4.2,3.85
25.7,97.79,100,24,98.8,800.69,36.32,566.6,d,1.875,1016.425,final,96,1017.325,0,94,24.7,2018-08-01T09:15:00,2018-08-01T13:15:00,1533129300,1.3,10,500,r01d,Light rain,135,4.5,4.09
25.9,100.68,100,24,101.74,816.61,39.11,610.2,d,1.75,1016.35,final,95,1017.25,0,99,24.9,2018-08-01T09:30:00,2018-08-01T13:30:00,1533130200,1.4,13,500,r01d,Light rain,140,4.8,4.34
26,103.56,100,24,104.68,832.52,41.9,653.8,d,1.625,1016.275,final,94,1017.175,0,104,25,2018-08-01T09:45:00,2018-08-01T13:45:00,1533131100,1.5,16,500,r01d,Light rain,140,5.1,4.59
26.1,106.44,100,23.9,107.62,848.43,44.69,697.5,d,1.5,1016.2,final,93,1017.1,0,110,25.1,2018-08-01T10:00:00,2018-08-01T14:00:00,1533132000,1.7,16,500,r01d,Light rain,145,5.3,4.72
