app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/icon,weather/code,weather/description,wind_dir,wind_gust_spd,wind_spd
2,10.16,96,1.1,0,0,-70.94,0,n,0,1018.85,final,79,1019.65,0,0,4.4,2018-12-01T00:00:00,2018-12-01T05:00:00,1543640400,0,16,c04n,804,Overcast clouds,320,2.9,2.72
1.9,18.98,93,1.1,0,0,-69.58,0,n,0,1018.9125,final,79,1019.7125,0,0,4.4,2018-12-01T00:15:00,2018-12-01T05:15:00,1543641300,0,16,c04n,804,Overcast clouds,325,3.1,2.85
1.8,27.79,90,1.1,0,0,-68.22,0,n,0,1018.975,final,79,1019.775,0,0,4.4,2018-12-01T00:30:00,2018-12-01T05:30:00,1543642200,0,16,c04n,804,Overcast clouds,335,3.2,2.97
1.7,36.61,87,1.1,0,0,-66.86,0,n,0,1019.0375,final,79,1019.8375,0,0,4.4,2018-12-01T00:45:00,2018-12-01T05:45:00,1543643100,0,16,c04n,804,Overcast clouds,340,3.3,3.1
1.7,45.42,78,1.1,0,0,-65.5,0,n,0,1019.1,final,79,1019.9,0,0,4.4,2018-12-01T01:00:00,2018-12-01T06:00:00,1543644000,0,16,c04n,804,Overcast clouds,340,3.3,3.1
1.4,50.72,68,0.9,0,0,-63.13,0,n,0,1019.125,final,79,1019.95,0,0,4.2,2018-12-01T01:15:00,2018-12-01T06:15:00,1543644900,0,16,c03n,803,Broken clouds,340,3.5,3.26
1.1,56.03,59,0.8,0,0,-60.77,0,n,0,1019.15,final,79,1020,0,0,4.1,2018-12-01T01:30:00,2018-12-01T06:30:00,1543645800,0,16,c03n,803,Broken clouds,340,3.7,3.43
0.8,61.33,50,0.6,0,0,-58.4,0,n,0,1019.175,final,79,1020.05,0,0,3.9,2018-12-01T01:45:00,2018-12-01T06:45:00,1543646700,0,16,c03n,803,Broken clouds,340,3.9,3.6
0.7,66.63,43,1.3,0,0,-56.03,0,n,0,1019.2,final,85,1020.1,0,0,3.6,2018-12-01T02:00:00,2018-12-01T07:00:00,1543647600,0,16,c03n,803,Broken clouds,265,3.5,3.22
0.6,70.07,37,1.1,0,0,-53.31,0,n,0,1019.2,final,85,1020.14996,0,0,3.3,2018-12-01T02:15:00,2018-12-01T07:15:00,1543648500,0,16,c02n,802,Scattered clouds,185,3.1,2.85
0.6,73.51,31,0.8,0,0,-50.59,0,n,0,1019.2,final,85,1020.19995,0,0,3.1,2018-12-01T02:30:00,2018-12-01T07:30:00,1543649400,0,16,c02n,802,Scattered clouds,110,2.6,2.47
0.7,76.94,25,0.5,0,0,-47.86,0,n,0,1019.2,final,85,1020.25,0,0,2.8,2018-12-01T02:45:00,2018-12-01T07:45:00,1543650300,0,16,c02n,802,Scattered clouds,30,2.2,2.1
0.7,80.38,25,0.4,0,0,-45.14,0,n,0,1019.2,final,85,1020.3,0,0,2.6,2018-12-01T03:00:00,2018-12-01T08:00:00,1543651200,0,16,c02n,802,Scattered clouds,25,2,1.95
0.7,83.01,25,0.4,0,0,-42.31,0,n,0,1019.3,final,86,1020.35,0,0,2.5,2018-12-01T03:15:00,2018-12-01T08:15:00,1543652100,0,16,c02n,802,Scattered clouds,20,1.9,1.8
0.7,85.65,25,0.3,0,0,-39.48,0,n,0,1019.4,final,86,1020.4,0,0,2.4,2018-12-01T03:30:00,2018-12-01T08:30:00,1543653000,0,16,c02n,802,Scattered clouds,15,1.7,1.65
0.8,88.28,25,0.3,0,0,-36.64,0,n,0,1019.5,final,87,1020.45,0,0,2.2,2018-12-01T03:45:00,2018-12-01T08:45:00,1543653900,0,16,c02n,802,Scattered clouds,10,1.6,1.5
1.5,90.91,25,0.6,0,0,-33.81,0,n,0,1019.6,final,88,1020.5,0,0,2.4,2018-12-01T04:00:00,2018-12-01T09:00:00,1543654800,0,16,c02n,802,Scattered clouds,10,1.2,1.12
2.5,93.22,25,0.9,0,0,-30.99,0,n,0,1019.85,final,89,1020.75,0,0,2.5,2018-12-01T04:15:00,2018-12-01T09:15:00,1543655700,0,16,c02n,802,Scattered clouds,15,0.8,0.75
4,95.53,25,1.2,0,0,-28.16,0,n,0,1020.1,final,90,1021,0,0,2.6,2018-12-01T04:30:00,2018-12-01T09:30:00,1543656600,0,16,c02n,802,Scattered clouds,15,0.4,0.37
1.2,97.83,25,1.5,0,0,-25.34,0,n,0,1020.35,final,91,1021.25,0,0,2.8,2018-12-01T04:45:00,2018-12-01T09:45:00,1543657500,0,16,c02n,802,Scattered clouds,15,1.8,1.7
4,100.14,25,1.5,0,0,-22.51,0,n,0,1020.6,final,92,1021.5,0,0,2.6,2018-12-01T05:00:00,2018-12-01T10:00:00,1543658400,0,16,c02n,802,Scattered clouds,15,0.4,0.37
2.5,102.37,25,1.5,0,0,-19.76,0,n,0,1020.675,final,93,1021.625,0,0,2.5,2018-12-01T05:15:00,2018-12-01T10:15:00,1543659300,0,16,c02n,802,Scattered clouds,20,0.8,0.75
1.5,104.61,25,1.5,0,0,-17.02,0,n,0,1020.75,final,94,1021.75,0,0,2.4,2018-12-01T05:30:00,2018-12-01T10:30:00,1543660200,0,16,c02n,802,Scattered clouds,20,1.2,1.12
0.8,106.84,25,1.3,0,0,-14.27,0,n,0,1020.825,final,94,1021.875,0,0,2.2,2018-12-01T05:45:00,2018-12-01T10:45:00,1543661100,0,16,c02n,802,Scattered clouds,20,1.6,1.5
0.1,109.07,25,1.2,0,0,-11.52,0,n,0,1020.9,final,95,1022,0,0,1.9,2018-12-01T06:00:00,2018-12-01T11:00:00,1543662000,0,16,c02n,802,Scattered clouds,105,1.8,1.77
