app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/code,weather/icon,wind_dir,wind_gust_spd,wind_spd
-5.6,353.94,100,-8.3,0,0,-66.48,0,n,0,1017.15,final,56,1017.85,0,0,-0.6,2018-02-01T00:00:00,2018-02-01T05:00:00,1517461200,0,16,Overcast clouds,804,c04n,195,5.5,4.92
-5.1,272.53,100,-8.3,0,0,-65.92,0,n,0,1017.1375,final,56,1017.8125,0,0,-0.6,2018-02-01T00:15:00,2018-02-01T05:15:00,1517462100,0,16,Overcast clouds,804,c04n,190,4.6,4.15
-4.5,191.12,100,-8,0,0,-65.35,0,n,0,1017.125,final,57,1017.775,0,0,-0.6,2018-02-01T00:30:00,2018-02-01T05:30:00,1517463000,0,16,Overcast clouds,804,c04n,185,3.7,3.37
-3.8,109.7,100,-7.8,0,0,-64.79,0,n,0,1017.1125,final,58,1017.7375,0,0,-0.6,2018-02-01T00:45:00,2018-02-01T05:45:00,1517463900,0,16,Overcast clouds,804,c04n,180,2.8,2.6
-3.8,28.29,100,-7.8,0,0,-64.22,0,n,0,1017.1,final,58,1017.7,0,0,-0.6,2018-02-01T01:00:00,2018-02-01T06:00:00,1517464800,0,16,Overcast clouds,804,c04n,180,2.8,2.6
-4,34.56,100,-7.8,0,0,-62.34,0,n,0,1016.94995,final,58,1017.6,0,0,-0.6,2018-02-01T01:15:00,2018-02-01T06:15:00,1517465700,0,16,Overcast clouds,804,c04n,180,3,2.76
-4.2,40.82,100,-7.6,0,0,-60.46,0,n,0,1016.8,final,59,1017.5,0,0,-0.6,2018-02-01T01:30:00,2018-02-01T06:30:00,1517466600,0,16,Overcast clouds,804,c04n,180,3.1,2.93
-4.3,47.09,100,-7.4,0,0,-58.58,0,n,0,1016.65,final,60,1017.4,0,0,-0.6,2018-02-01T01:45:00,2018-02-01T06:45:00,1517467500,0,16,Overcast clouds,804,c04n,180,3.3,3.1
-4.3,53.35,100,-7.4,0,0,-56.7,0,n,0,1016.5,final,60,1017.3,0,0,-0.6,2018-02-01T02:00:00,2018-02-01T07:00:00,1517468400,0,16,Overcast clouds,804,c04n,185,3.3,3.1
-4.3,57.51,100,-7.2,0,0,-54.19,0,n,0,1016.325,final,61,1017.225,0,0,-0.6,2018-02-01T02:15:00,2018-02-01T07:15:00,1517469300,0,16,Overcast clouds,804,c04n,185,3.3,3.1
-4.3,61.68,100,-7,0,0,-51.69,0,n,0,1016.15,final,62,1017.15,0,0,-0.6,2018-02-01T02:30:00,2018-02-01T07:30:00,1517470200,0,16,Overcast clouds,804,c04n,190,3.3,3.1
-4.3,65.84,100,-7,0,0,-49.18,0,n,0,1015.975,final,62,1017.075,0,0,-0.6,2018-02-01T02:45:00,2018-02-01T07:45:00,1517471100,0,16,Overcast clouds,804,c04n,190,3.3,3.1
-4,70,100,-6.4,0,0,-46.67,0,n,0,1015.8,final,64,1017,0,0,-0.4,2018-02-01T03:00:00,2018-02-01T08:00:00,1517472000,0,16,Overcast clouds,804,c04n,190,3.2,2.97
-3.7,73.05,100,-6.1,0,0,-43.91,0,n,0,1015.725,final,65,1016.85,0,0,-0.3,2018-02-01T03:15:00,2018-02-01T08:15:00,1517472900,0,16,Overcast clouds,804,c04n,190,3.1,2.85
