app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/icon,weather/code,wind_dir,wind_gust_spd,wind_spd
-22.3,0.11,18,-20.6,0,0,-72.36,0,n,0,1026.6,final,52,1027.4,0,0,-12.8,2018-01-01T00:00:00,2018-01-01T05:00:00,1514782800,0,16,Few clouds,c02n,801,325,8,6.82
-22,10.13,12,-20.6,0,0,-71.34,0,n,0,1026.675,final,52,1027.425,0,0,-12.8,2018-01-01T00:15:00,2018-01-01T05:15:00,1514783700,0,16,Few clouds,c02n,801,320,7.5,6.45
-21.7,20.15,6,-20.3,0,0,-70.33,0,n,0,1026.75,final,53,1027.45,0,0,-12.8,2018-01-01T00:30:00,2018-01-01T05:30:00,1514784600,0,16,Few clouds,c02n,801,315,7,6.07
-21.5,30.17,0,-20.1,0,0,-69.31,0,n,0,1026.825,final,54,1027.475,0,0,-12.8,2018-01-01T00:45:00,2018-01-01T05:45:00,1514785500,0,16,Clear Sky,c01n,800,310,6.5,5.7
-21.5,40.19,0,-20.1,0,0,-68.29,0,n,0,1026.9,final,54,1027.5,0,0,-12.8,2018-01-01T01:00:00,2018-01-01T06:00:00,1514786400,0,16,Clear Sky,c01n,800,310,6.5,5.7
-21.5,46.19,0,-20.3,0,0,-66.03,0,n,0,1026.85,final,54,1027.55,0,0,-13,2018-01-01T01:15:00,2018-01-01T06:15:00,1514787300,0,16,Clear Sky,c01n,800,315,6.3,5.5
-21.6,52.2,0,-20.4,0,0,-63.77,0,n,0,1026.8,final,54,1027.6,0,0,-13.1,2018-01-01T01:30:00,2018-01-01T06:30:00,1514788200,0,16,Clear Sky,c01n,800,315,6,5.3
-21.6,58.2,0,-20.6,0,0,-61.5,0,n,0,1026.75,final,54,1027.6499,0,0,-13.3,2018-01-01T01:45:00,2018-01-01T06:45:00,1514789100,0,16,Clear Sky,c01n,800,320,5.7,5.09
-21.6,64.2,0,-20.6,0,0,-59.24,0,n,0,1026.7,final,54,1027.7,0,0,-13.3,2018-01-01T02:00:00,2018-01-01T07:00:00,1514790000,0,16,Clear Sky,c01n,800,315,5.7,5.09
-21.6,67.88,0,-20.6,0,0,-56.54,0,n,0,1026.875,final,54,1027.7999,0,0,-13.3,2018-01-01T02:15:00,2018-01-01T07:15:00,1514790900,0,16,Clear Sky,c01n,800,310,5.7,5.09
-21.6,71.57,0,-20.6,0,0,-53.85,0,n,0,1027.05,final,54,1027.8999,0,0,-13.3,2018-01-01T02:30:00,2018-01-01T07:30:00,1514791800,0,16,Clear Sky,c01n,800,305,5.7,5.09
-21.6,75.25,0,-20.6,0,0,-51.15,0,n,0,1027.225,final,54,1028,0,0,-13.3,2018-01-01T02:45:00,2018-01-01T07:45:00,1514792700,0,16,Clear Sky,c01n,800,300,5.7,5.09
-21.9,78.93,0,-20.7,0,0,-48.45,0,n,0,1027.4,final,54,1028.1,0,0,-13.4,2018-01-01T03:00:00,2018-01-01T08:00:00,1514793600,0,16,Clear Sky,c01n,800,300,5.9,5.25
-22.3,81.64,0,-20.9,0,0,-45.62,0,n,0,1027.3,final,54,1028.075,0,0,-13.6,2018-01-01T03:15:00,2018-01-01T08:15:00,1514794500,0,16,Clear Sky,c01n,800,300,6.1,5.4
-22.6,84.36,0,-20.8,0,0,-42.8,0,n,0,1027.2,final,55,1028.05,0,0,-13.8,2018-01-01T03:30:00,2018-01-01T08:30:00,1514795400,0,16,Clear Sky,c01n,800,300,6.3,5.55
-22.9,87.07,0,-20.7,0,0,-39.97,0,n,0,1027.1,final,56,1028.025,0,0,-13.9,2018-01-01T03:45:00,2018-01-01T08:45:00,1514796300,0,16,Clear Sky,c01n,800,300,6.5,5.7
-23.1,89.78,0,-20.7,0,0,-37.14,0,n,0,1027,final,56,1028,0,0,-13.9,2018-01-01T04:00:00,2018-01-01T09:00:00,1514797200,0,16,Clear Sky,c01n,800,300,7,6.07
-23.4,92.1,0,-20.5,0,0,-34.31,0,n,0,1027.1,final,57,1028.075,0,0,-13.9,2018-01-01T04:15:00,2018-01-01T09:15:00,1514798100,0,16,Clear Sky,c01n,800,300,7.5,6.45
-23.7,94.41,0,-20.3,0,0,-31.48,0,n,0,1027.2,final,58,1028.15,0,0,-13.9,2018-01-01T04:30:00,2018-01-01T09:30:00,1514799000,0,16,Clear Sky,c01n,800,300,8,6.82
-23.9,96.73,0,-20.3,0,0,-28.65,0,n,0,1027.3,final,58,1028.2251,0,0,-13.9,2018-01-01T04:45:00,2018-01-01T09:45:00,1514799900,0,16,Clear Sky,c01n,800,300,8.5,7.2
