app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/code,weather/icon,weather/description,wind_dir,wind_gust_spd,wind_spd
29.6,344.67,43,17.7,0,0,-24.71,0,n,0,1014.8,final,51,1016,0,0,28.9,2018-07-01T00:00:00,2018-07-01T04:00:00,1530417600,0,16,803,c03n,Broken clouds,165,2.3,2.22
29,348.47,37,17.5,0,0,-25.1,0,n,0,1014.825,final,52,1015.9625,0,0,28.3,2018-07-01T00:15:00,2018-07-01T04:15:00,1530418500,0,16,802,c02n,Scattered clouds,170,2.5,2.35
28.4,352.27,31,17.3,0,0,-25.48,0,n,0,1014.85,final,53,1015.925,0,0,27.8,2018-07-01T00:30:00,2018-07-01T04:30:00,1530419400,0,16,802,c02n,Scattered clouds,175,2.6,2.47
27.9,356.06,25,17.1,0,0,-25.87,0,n,0,1014.875,final,54,1015.88745,0,0,27.2,2018-07-01T00:45:00,2018-07-01T04:45:00,1530420300,0,16,802,c02n,Scattered clouds,180,2.8,2.6
28,359.86,25,17.4,0,0,-26.25,0,n,0,1014.9,final,55,1015.85,0,0,27.2,2018-07-01T01:00:00,2018-07-01T05:00:00,1530421200,0,16,802,c02n,Scattered clouds,195,3.2,2.97
28,273.66,25,17.7,0,0,-25.88,0,n,0,1014.92505,final,56,1015.8125,0,0,27.2,2018-07-01T01:15:00,2018-07-01T05:15:00,1530422100,0,16,802,c02n,Scattered clouds,210,3.6,3.34
28.2,187.46,25,18.2,0,0,-25.51,0,n,0,1014.95,final,58,1015.775,0,0,27.2,2018-07-01T01:30:00,2018-07-01T05:30:00,1530423000,0,16,802,c02n,Scattered clouds,225,4.1,3.72
28.3,101.26,25,18.5,0,0,-25.14,0,n,0,1014.975,final,59,1015.7375,0,0,27.2,2018-07-01T01:45:00,2018-07-01T05:45:00,1530423900,0,16,802,c02n,Scattered clouds,240,4.5,4.09
28.3,15.06,25,18.8,0,0,-24.77,0,n,0,1015,final,60,1015.7,0,0,27.2,2018-07-01T02:00:00,2018-07-01T06:00:00,1530424800,0,16,802,c02n,Scattered clouds,240,4.5,4.09
28.1,18.61,25,18.6,0,0,-23.7,0,n,0,1014.875,final,60,1015.625,0,0,27,2018-07-01T02:15:00,2018-07-01T06:15:00,1530425700,0,16,802,c02n,Scattered clouds,240,4.1,3.76
28,22.17,25,18.7,0,0,-22.62,0,n,0,1014.75,final,61,1015.55005,0,0,26.9,2018-07-01T02:30:00,2018-07-01T06:30:00,1530426600,0,16,802,c02n,Scattered clouds,240,3.7,3.43
27.8,25.72,25,18.8,0,0,-21.55,0,n,0,1014.625,final,62,1015.47504,0,0,26.7,2018-07-01T02:45:00,2018-07-01T06:45:00,1530427500,0,16,802,c02n,Scattered clouds,240,3.3,3.1
26.7,29.27,25,18.5,0,0,-20.47,0,n,0,1014.5,final,62,1015.4,0,0,26.4,2018-07-01T03:00:00,2018-07-01T07:00:00,1530428400,0,16,802,c02n,Scattered clouds,245,3.1,2.85
26.5,32.44,25,18.8,0,0,-18.81,0,n,0,1014.575,final,64,1015.5,0,0,26.1,2018-07-01T03:15:00,2018-07-01T07:15:00,1530429300,0,16,802,c02n,Scattered clouds,245,2.8,2.6
26.2,35.61,25,18.8,0,0,-17.16,0,n,0,1014.65,final,65,1015.6,0,0,25.9,2018-07-01T03:30:00,2018-07-01T07:30:00,1530430200,0,16,802,c02n,Scattered clouds,250,2.5,2.35
25.9,38.77,25,18.8,0,0,-15.5,0,n,0,1014.725,final,66,1015.7,0,0,25.6,2018-07-01T03:45:00,2018-07-01T07:45:00,1530431100,0,16,802,c02n,Scattered clouds,250,2.2,2.1
26,41.94,31,19.3,0,0,-13.84,0,n,0,1014.8,final,68,1015.8,0,0,25.6,2018-07-01T04:00:00,2018-07-01T08:00:00,1530432000,0,16,802,c02n,Scattered clouds,255,2.5,2.35
26,44.72,37,19.3,0,0,-11.75,0,n,0,1014.975,final,68,1015.975,0,0,25.6,2018-07-01T04:15:00,2018-07-01T08:15:00,1530432900,0,16,802,c02n,Scattered clouds,255,2.8,2.6
26,47.5,43,19.3,0,0,-9.65,0,n,0,1015.15,final,68,1016.15,0,0,25.6,2018-07-01T04:30:00,2018-07-01T08:30:00,1530433800,0,16,803,c03n,Broken clouds,260,3.1,2.85
26,50.28,50,19.3,0,0,-7.56,0,n,0,1015.325,final,68,1016.325,0,0,25.6,2018-07-01T04:45:00,2018-07-01T08:45:00,1530434700,0,16,803,c03n,Broken clouds,260,3.3,3.1
26.1,53.06,59,19.4,0,0,-5.46,0,n,0,1015.5,final,68,1016.5,0,0,25.7,2018-07-01T05:00:00,2018-07-01T09:00:00,1530435600,0,16,803,c03n,Broken clouds,270,3.2,2.97
26.3,55.53,68,19.5,7.47,61.19,-3.05,9.7,d,0,1015.575,final,68,1016.575,0,14,25.9,2018-07-01T05:15:00,2018-07-01T09:15:00,1530436500,0,16,803,c03n,Broken clouds,280,3.1,2.85
26.4,58,78,19.4,14.94,122.39,-0.64,19.4,d,0,1015.65,final,67,1016.65,0,26,26,2018-07-01T05:30:00,2018-07-01T09:30:00,1530437400,0,16,804,c04n,Overcast clouds,290,2.9,2.72
26.5,60.47,87,19.2,22.4,183.58,1.77,29,d,0,1015.725,final,66,1016.725,0,33,26.1,2018-07-01T05:45:00,2018-07-01T09:45:00,1530438300,0.7,16,804,c04n,Overcast clouds,300,2.8,2.6
27,62.94,78,19.6,29.87,244.77,4.18,38.7,d,0,1015.8,final,66,1016.8,0,51,26.5,2018-07-01T06:00:00,2018-07-01T10:00:00,1530439200,0.8,16,804,c04n,Overcast clouds,295,2.5,2.32
28.4,65.21,68,19.8,38.29,324.8,6.81,78.9,d,0,1015.9,final,65,1016.9,0,55,26.9,2018-07-01T06:15:00,2018-07-01T10:15:00,1530440100,0.9,16,803,c03d,Broken clouds,290,2.1,2.04
28.9,67.48,59,20,46.71,404.83,9.43,119,d,0,1016,final,64,1017,0,95,27.4,2018-07-01T06:30:00,2018-07-01T10:30:00,1530441000,1.1,16,803,c03d,Broken clouds,285,1.8,1.77
29.5,69.75,50,20.1,55.13,484.86,12.06,159.2,d,0,1016.1,final,63,1017.1,0,137,27.8,2018-07-01T06:45:00,2018-07-01T10:45:00,1530441900,1.2,16,803,c03d,Broken clouds,280,1.6,1.5
29.6,72.02,50,20,63.55,564.89,14.68,199.4,d,0,1016.2,final,62,1017.2,0,171,27.9,2018-07-01T07:00:00,2018-07-01T11:00:00,1530442800,1.3,16,803,c03d,Broken clouds,275,2.3,2.15
29.8,74.23,50,20.1,68.83,602.72,17.44,246.8,d,0,1016.325,final,62,1017.25,0,212,28.1,2018-07-01T07:15:00,2018-07-01T11:15:00,1530443700,1.4,16,803,c03d,Broken clouds,270,3,2.8
29.8,76.44,50,19.9,74.11,640.54,20.2,294.3,d,0,1016.45,final,61,1017.30005,0,253,28.2,2018-07-01T07:30:00,2018-07-01T11:30:00,1530444600,1.5,16,803,c03d,Broken clouds,265,3.7,3.45
29.9,78.64,50,19.8,79.39,678.37,22.96,341.7,d,0,1016.575,final,60,1017.35004,0,294,28.3,2018-07-01T07:45:00,2018-07-01T11:45:00,1530445500,1.6,16,803,c03d,Broken clouds,260,4.5,4.09
29.9,80.85,59,19.8,84.67,716.19,25.72,389.2,d,0,1016.7,final,60,1017.4,0,310,28.3,2018-07-01T08:00:00,2018-07-01T12:00:00,1530446400,1.6,16,803,c03d,Broken clouds,260,4.5,4.09
30.7,83.17,68,20,88.41,738.37,28.55,436.4,d,0,1016.575,final,59,1017.325,0,306,28.9,2018-07-01T08:15:00,2018-07-01T12:15:00,1530447300,1.6,16,803,c03d,Broken clouds,255,4.1,3.76
31.4,85.49,78,20.3,92.14,760.56,31.39,483.7,d,0,1016.45,final,58,1017.25,0,269,29.4,2018-07-01T08:30:00,2018-07-01T12:30:00,1530448200,1.6,16,804,c04d,Overcast clouds,245,3.7,3.43
32.4,87.8,87,20.8,95.88,782.74,34.22,530.9,d,0,1016.325,final,58,1017.175,0,203,30,2018-07-01T08:45:00,2018-07-01T12:45:00,1530449100,1.5,16,804,c04d,Overcast clouds,240,3.3,3.1
33,90.12,87,20.9,99.61,804.92,37.05,578.2,d,0,1016.2,final,57,1017.1,0,220,30.4,2018-07-01T09:00:00,2018-07-01T13:00:00,1530450000,1.7,16,804,c04d,Overcast clouds,235,2.5,2.32
33.6,92.83,87,21,102.28,818.87,39.88,620.2,d,0,1016.025,final,56,1016.975,0,236,30.9,2018-07-01T09:15:00,2018-07-01T13:15:00,1530450900,1.9,16,804,c04d,Overcast clouds,230,1.6,1.55
34.2,95.53,87,21.1,104.96,832.82,42.7,662.3,d,0,1015.85,final,55,1016.85,0,252,31.3,2018-07-01T09:30:00,2018-07-01T13:30:00,1530451800,2,16,804,c04d,Overcast clouds,225,0.8,0.77
34.8,98.24,87,21.2,107.63,846.77,45.53,704.4,d,0,1015.675,final,54,1016.725,0,268,31.7,2018-07-01T09:45:00,2018-07-01T13:45:00,1530452700,2.3,16,804,c04d,Overcast clouds,220,1.8,1.7
35.1,100.94,87,21.2,110.3,860.72,48.35,746.4,d,0,1015.5,final,53,1016.6,0,284,32,2018-07-01T10:00:00,2018-07-01T14:00:00,1530453600,2.5,16,804,c04d,Overcast clouds,215,0.4,0.37
35.3,104.61,87,21.1,112.11,869.4,51.05,779.5,d,0,1015.575,final,52,1016.64996,0,297,32.3,2018-07-01T10:15:00,2018-07-01T14:15:00,1530454500,2.7,16,804,c04d,Overcast clouds,210,0.8,0.75
35.3,108.29,87,20.7,113.93,878.09,53.75,812.5,d,0,1015.65,final,50,1016.69995,0,310,32.5,2018-07-01T10:30:00,2018-07-01T14:30:00,1530455400,2.9,16,804,c04d,Overcast clouds,205,1.2,1.12
35.6,111.96,87,20.7,115.74,886.77,56.45,845.5,d,0,1015.725,final,49,1016.75,0,323,32.8,2018-07-01T10:45:00,2018-07-01T14:45:00,1530456300,3.1,16,804,c04d,Overcast clouds,200,1.6,1.5
36.4,115.63,87,20.8,117.55,895.45,59.15,878.5,d,0,1015.8,final,48,1016.8,0,335,33.3,2018-07-01T11:00:00,2018-07-01T15:00:00,1530457200,3.3,16,804,c04d,Overcast clouds,195,1.2,1.12
37.2,121.61,87,21,118.61,900.25,61.42,899.6,d,0,1015.8,final,47,1016.775,0,343,33.9,2018-07-01T11:15:00,2018-07-01T15:15:00,1530458100,3.5,16,804,c04d,Overcast clouds,190,0.8,0.75
38,127.59,87,21.1,119.67,905.05,63.69,920.6,d,0,1015.8,final,46,1016.75,0,350,34.5,2018-07-01T11:30:00,2018-07-01T15:30:00,1530459000,3.6,16,804,c04d,Overcast clouds,185,0.4,0.37
38.5,133.56,87,20.9,120.72,909.85,65.96,941.7,d,0,1015.8,final,44,1016.725,0,359,35,2018-07-01T11:45:00,2018-07-01T15:45:00,1530459900,3.8,16,804,c04d,Overcast clouds,180,0.9,0.9
38.5,139.54,87,20.7,121.78,914.65,68.23,962.8,d,0,1015.8,final,43,1016.7,0,368,35.1,2018-07-01T12:00:00,2018-07-01T16:00:00,1530460800,4,16,804,c04d,Overcast clouds,175,0.4,0.37
38.4,149.53,87,20.4,122.13,916.21,69.26,970.1,d,0,1015.65,final,42,1016.6,0,372,35.3,2018-07-01T12:15:00,2018-07-01T16:15:00,1530461700,4,16,804,c04d,Overcast clouds,170,0.8,0.75
38.7,159.53,87,20.6,122.49,917.76,70.29,977.4,d,0,1015.5,final,42,1016.5,0,374,35.5,2018-07-01T12:30:00,2018-07-01T16:30:00,1530462600,4.1,16,804,c04d,Overcast clouds,165,1.2,1.12
38.7,169.52,87,20.3,122.84,919.32,71.32,984.8,d,0,1015.35,final,41,1016.4,0,378,35.6,2018-07-01T12:45:00,2018-07-01T16:45:00,1530463500,4.1,16,804,c04d,Overcast clouds,160,1.6,1.5
38.6,179.51,87,20,123.19,920.87,72.35,992.1,d,0,1015.2,final,40,1016.3,0,382,35.7,2018-07-01T13:00:00,2018-07-01T17:00:00,1530464400,4.2,16,804,c04d,Overcast clouds,155,2.1,2.02
38.5,189.57,87,19.7,122.85,919.38,71.36,985.1,d,0,1015.15,final,39,1016.175,0,380,35.9,2018-07-01T13:15:00,2018-07-01T17:15:00,1530465300,4.1,16,804,c04d,Overcast clouds,150,2.7,2.54
38.4,199.64,87,19.4,122.52,917.89,70.37,978,d,0,1015.1,final,38,1016.05,0,378,36,2018-07-01T13:30:00,2018-07-01T17:30:00,1530466200,4.1,16,804,c04d,Overcast clouds,145,3.3,3.07
38,209.7,87,18.7,122.18,916.39,69.37,971,d,0,1015.05,final,36,1015.925,0,378,36.1,2018-07-01T13:45:00,2018-07-01T17:45:00,1530467100,4,16,804,c04d,Overcast clouds,140,3.9,3.6
37.7,219.76,87,18.2,121.84,914.9,68.38,964,d,0,1015,final,35,1015.8,0,376,36.1,2018-07-01T14:00:00,2018-07-01T18:00:00,1530468000,4,16,804,c04d,Overcast clouds,140,3.9,3.6
38,225.81,87,18.7,120.8,910.18,66.13,943.2,d,0,1014.875,final,36,1015.7,0,367,36.1,2018-07-01T14:15:00,2018-07-01T18:15:00,1530468900,3.8,16,804,c04d,Overcast clouds,145,3.9,3.6
38.3,231.86,87,19.1,119.76,905.45,63.87,922.4,d,0,1014.75,final,37,1015.6,0,358,36.1,2018-07-01T14:30:00,2018-07-01T18:30:00,1530469800,3.7,16,804,c04d,Overcast clouds,155,3.9,3.6
38.7,237.91,87,19.5,118.71,900.73,61.62,901.6,d,0,1014.625,final,38,1015.5,0,348,36.1,2018-07-01T14:45:00,2018-07-01T18:45:00,1530470700,3.5,16,804,c04d,Overcast clouds,160,3.9,3.6
38.7,243.96,87,19.8,117.67,896,59.36,880.8,d,0,1014.5,final,39,1015.4,0,339,36,2018-07-01T15:00:00,2018-07-01T19:00:00,1530471600,3.3,16,804,c04d,Overcast clouds,165,4.2,3.85
38.5,247.66,87,19.7,115.87,887.41,56.67,848,d,0,1014.425,final,39,1015.325,0,327,35.9,2018-07-01T15:15:00,2018-07-01T19:15:00,1530472500,3.1,16,804,c04d,Overcast clouds,165,4.5,4.09
38.6,251.37,87,20,114.08,878.82,53.97,815.2,d,0,1014.35,final,40,1015.25,0,314,35.7,2018-07-01T15:30:00,2018-07-01T19:30:00,1530473400,2.9,16,804,c04d,Overcast clouds,170,4.8,4.34
38.4,255.07,87,19.9,112.28,870.22,51.28,782.4,d,0,1014.275,final,40,1015.175,0,301,35.6,2018-07-01T15:45:00,2018-07-01T19:45:00,1530474300,2.7,16,804,c04d,Overcast clouds,170,5.1,4.59
37.8,258.77,87,19.6,110.48,861.63,48.58,749.6,d,0,1014.2,final,40,1015.1,0,289,35.3,2018-07-01T16:00:00,2018-07-01T20:00:00,1530475200,2.5,16,804,c04d,Overcast clouds,170,4.8,4.34
37.2,261.49,87,19.4,107.83,847.81,45.76,707.7,d,0,1014.2,final,40,1015.14996,0,274,35,2018-07-01T16:15:00,2018-07-01T20:15:00,1530476100,2.3,16,804,c04d,Overcast clouds,165,4.5,4.09
36.7,264.21,87,19.1,105.18,833.98,42.93,665.7,d,0,1014.2,final,40,1015.19995,0,258,34.7,2018-07-01T16:30:00,2018-07-01T20:30:00,1530477000,2.1,16,804,c04d,Overcast clouds,165,4.2,3.85
36.4,266.93,87,19.2,102.52,820.16,40.11,623.8,d,0,1014.2,final,41,1015.25,0,241,34.4,2018-07-01T16:45:00,2018-07-01T20:45:00,1530477900,1.9,16,804,c04d,Overcast clouds,160,3.9,3.6
36.4,269.65,78,19.2,99.87,806.33,37.28,581.9,d,0,1014.2,final,41,1015.3,0,326,34.4,2018-07-01T17:00:00,2018-07-01T21:00:00,1530478800,1.9,16,804,c04d,Overcast clouds,160,4.1,3.72
36.4,271.97,68,19.2,96.16,784.36,34.45,534.7,d,0,1014.1,final,41,1015.2,0,377,34.4,2018-07-01T17:15:00,2018-07-01T21:15:00,1530479700,2,16,803,c03d,Broken clouds,155,4.2,3.84
36.7,274.29,59,19.6,92.45,762.39,31.62,487.5,d,0,1014,final,42,1015.1,0,388,34.4,2018-07-01T17:30:00,2018-07-01T21:30:00,1530480600,2,16,803,c03d,Broken clouds,155,4.4,3.97
36.7,276.61,50,19.6,88.73,740.41,28.78,440.3,d,0,1013.9,final,42,1015,0,379,34.4,2018-07-01T17:45:00,2018-07-01T21:45:00,1530481500,2,16,803,c03d,Broken clouds,150,4.5,4.09
36.4,278.93,50,19.5,85.02,718.44,25.95,393.1,d,0,1013.8,final,42,1014.9,0,339,34.3,2018-07-01T18:00:00,2018-07-01T22:00:00,1530482400,1.8,16,803,c03d,Broken clouds,155,4.5,4.09
36.5,281.14,50,19.8,79.78,681.04,23.19,345.5,d,0,1013.9,final,43,1014.92505,0,297,34.1,2018-07-01T18:15:00,2018-07-01T22:15:00,1530483300,1.6,16,803,c03d,Broken clouds,155,4.5,4.09
36.6,283.35,50,20,74.54,643.65,20.42,298,d,0,1014,final,44,1014.95,0,256,34,2018-07-01T18:30:00,2018-07-01T22:30:00,1530484200,1.5,16,803,c03d,Broken clouds,160,4.5,4.09
36.9,285.55,50,20.6,69.29,606.25,17.66,250.5,d,0,1014.1,final,46,1014.975,0,215,33.9,2018-07-01T18:45:00,2018-07-01T22:45:00,1530485100,1.4,16,803,c03d,Broken clouds,160,4.5,4.09
36.7,287.76,50,20.7,64.05,568.85,14.89,202.9,d,0,1014.2,final,47,1015,0,174,33.6,2018-07-01T19:00:00,2018-07-01T23:00:00,1530486000,1.3,16,803,c03d,Broken clouds,165,4.2,3.84
36.4,290.03,50,20.8,55.72,490.19,12.26,162.5,d,0,1014.225,final,48,1015.05,0,139,33.3,2018-07-01T19:15:00,2018-07-01T23:15:00,1530486900,1.2,16,803,c03d,Broken clouds,165,3.9,3.59
36.4,292.3,50,21.2,47.4,411.52,9.63,122,d,0,1014.25,final,50,1015.1,0,104,33.1,2018-07-01T19:30:00,2018-07-01T23:30:00,1530487800,1.2,16,803,c03d,Broken clouds,170,3.6,3.35
36.1,294.56,50,21.3,39.07,332.86,7,81.6,d,0,1014.275,final,51,1015.15,0,70,32.8,2018-07-01T19:45:00,2018-07-01T23:45:00,1530488700,1.2,16,803,c03d,Broken clouds,170,3.3,3.1
36.4,296.83,43,21.6,30.74,254.19,4.37,41.1,d,0,1014.3,final,52,1015.2,0,37,32.8,2018-07-01T20:00:00,2018-07-02T00:00:00,1530489600,1.2,16,803,c03n,Broken clouds,170,3.3,3.1
36,299.29,37,21.6,23.06,190.64,1.95,30.8,d,0,1014.275,final,53,1015.2,0,28,32.4,2018-07-01T20:15:00,2018-07-02T00:15:00,1530490500,1.3,16,802,c02n,Scattered clouds,180,3,2.76
35.5,301.76,31,21.6,15.37,127.1,-0.47,20.5,d,0,1014.25,final,54,1015.2,0,19,32.1,2018-07-01T20:30:00,2018-07-02T00:30:00,1530491400,0,16,802,c02n,Scattered clouds,190,2.6,2.43
34.8,304.22,25,21.2,7.69,63.55,-2.88,10.3,d,0,1014.225,final,54,1015.2,0,10,31.7,2018-07-01T20:45:00,2018-07-02T00:45:00,1530492300,0,16,802,c02n,Scattered clouds,200,2.2,2.1
35,306.68,25,21.5,0,0,-5.3,0,n,0,1014.2,final,55,1015.2,0,0,31.7,2018-07-01T21:00:00,2018-07-02T01:00:00,1530493200,0,16,802,c02n,Scattered clouds,200,2,1.95
35,309.45,25,21.5,0,0,-7.41,0,n,0,1014.35,final,55,1015.325,0,0,31.7,2018-07-01T21:15:00,2018-07-02T01:15:00,1530494100,0,16,802,c02n,Scattered clouds,195,1.9,1.8
35,312.23,25,21.5,0,0,-9.51,0,n,0,1014.5,final,55,1015.45,0,0,31.7,2018-07-01T21:30:00,2018-07-02T01:30:00,1530495000,0,16,802,c02n,Scattered clouds,195,1.7,1.65
35,315,25,21.5,0,0,-11.62,0,n,0,1014.65,final,55,1015.575,0,0,31.7,2018-07-01T21:45:00,2018-07-02T01:45:00,1530495900,0,16,802,c02n,Scattered clouds,190,1.6,1.5
34.7,317.77,31,21.4,0,0,-13.72,0,n,0,1014.8,final,55,1015.7,0,0,31.6,2018-07-01T22:00:00,2018-07-02T02:00:00,1530496800,0,16,802,c02n,Scattered clouds,205,2,1.9
34.2,320.93,37,21,0,0,-15.39,0,n,0,1014.9,final,54,1015.825,0,0,31.4,2018-07-01T22:15:00,2018-07-02T02:15:00,1530497700,0,16,802,c02n,Scattered clouds,215,2.4,2.29
