app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/code,weather/icon,wind_dir,wind_gust_spd,wind_spd
17.2,345.95,100,17.2,0,0,-25.95,0,n,0,1011.4,final,100,1012.6,0,0,17.2,2018-06-01T00:00:00,2018-06-01T04:00:00,1527825600,0,1,Fog,741,a05n,85,2.3,2.22
17.2,259.82,100,17.2,0,0,-26.26,0,n,0,1011.30005,final,100,1012.46246,0,0,17.2,2018-06-01T00:15:00,2018-06-01T04:15:00,1527826500,0,1,Fog,741,a05n,85,2.5,2.35
17.2,173.69,100,17.2,0,0,-26.58,0,n,0,1011.2,final,100,1012.32495,0,0,17.2,2018-06-01T00:30:00,2018-06-01T04:30:00,1527827400,0,1,Fog,741,a05n,90,2.6,2.47
17.2,87.56,100,17.2,0,0,-26.89,0,n,0,1011.1,final,100,1012.1875,0,0,17.2,2018-06-01T00:45:00,2018-06-01T04:45:00,1527828300,0,1,Fog,741,a05n,90,2.8,2.6
17.2,1.43,100,17.2,0,0,-27.2,0,n,0,1011,final,100,1012.05,0,0,17.2,2018-06-01T01:00:00,2018-06-01T05:00:00,1527829200,0,1,Fog,741,a05n,85,2.6,2.47
17.2,5.27,100,17.2,0,0,-26.75,0,n,0,1010.9,final,100,1011.9125,0,0,17.2,2018-06-01T01:15:00,2018-06-01T05:15:00,1527830100,0,1,Fog,741,a05n,75,2.5,2.35
17.2,9.12,100,17.2,0,0,-26.3,0,n,0,1010.8,final,100,1011.775,0,0,17.2,2018-06-01T01:30:00,2018-06-01T05:30:00,1527831000,0,1,Fog,741,a05n,70,2.3,2.22
17.2,12.96,100,17.2,0,0,-25.84,0,n,0,1010.69995,final,100,1011.6375,0,0,17.2,2018-06-01T01:45:00,2018-06-01T05:45:00,1527831900,0,1,Fog,741,a05n,60,2.2,2.1
17.2,16.8,100,17.2,0,0,-25.39,0,n,0,1010.6,final,100,1011.5,0,0,17.2,2018-06-01T02:00:00,2018-06-01T06:00:00,1527832800,0,1,Fog,741,a05n,60,2.2,2.1
17.2,20.36,100,17.2,0,0,-24.23,0,n,0.25,1010.39996,final,100,1011.275,0,0,17.2,2018-06-01T02:15:00,2018-06-01T06:15:00,1527833700,0,1,Fog,741,a05n,55,2.2,2.1
17.2,23.92,100,17.2,0,0,-23.08,0,n,0.5,1010.19995,final,100,1011.05,0,0,17.2,2018-06-01T02:30:00,2018-06-01T06:30:00,1527834600,0,1,Fog,741,a05n,55,2.2,2.1
17.2,27.48,100,17.2,0,0,-21.92,0,n,0.75,1010,final,100,1010.82495,0,0,17.2,2018-06-01T02:45:00,2018-06-01T06:45:00,1527835500,0,1,Light rain,500,r01n,50,2.2,2.1
17.4,31.04,100,17.4,0,0,-20.76,0,n,1,1009.8,final,100,1010.6,0,0,17.4,2018-06-01T03:00:00,2018-06-01T07:00:00,1527836400,0,1,Light rain,500,r01n,60,2,1.95
17.5,34.2,100,17.5,0,0,-19.03,0,n,1,1009.625,final,100,1010.5,0,0,17.5,2018-06-01T03:15:00,2018-06-01T07:15:00,1527837300,0,1,Light rain,500,r01n,70,1.9,1.8
17.6,37.36,100,17.6,0,0,-17.31,0,n,1,1009.44995,final,100,1010.4,0,0,17.6,2018-06-01T03:30:00,2018-06-01T07:30:00,1527838200,0,1,Light rain,500,r01n,80,1.7,1.65
