app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/description,weather/code,weather/icon,wind_dir,wind_gust_spd,wind_spd
12.1,355.95,96,2.8,0,0,-56.68,0,n,0,1010.7,final,53,1011.6,0,0,12.1,2018-03-01T00:00:00,2018-03-01T05:00:00,1519880400,0,16,Overcast clouds,804,c04n,240,4.1,3.72
11.9,272.55,93,2.7,0,0,-56.22,0,n,0,1010.775,final,53,1011.625,0,0,11.9,2018-03-01T00:15:00,2018-03-01T05:15:00,1519881300,0,16,Overcast clouds,804,c04n,235,4.2,3.84
11.8,189.15,90,2.8,0,0,-55.76,0,n,0,1010.85,final,54,1011.65,0,0,11.8,2018-03-01T00:30:00,2018-03-01T05:30:00,1519882200,0,16,Overcast clouds,804,c04n,235,4.4,3.97
11.7,105.75,87,2.7,0,0,-55.29,0,n,0,1010.925,final,54,1011.675,0,0,11.7,2018-03-01T00:45:00,2018-03-01T05:45:00,1519883100,0,16,Overcast clouds,804,c04n,230,4.5,4.09
11.7,22.35,87,2.7,0,0,-54.83,0,n,0,1011,final,54,1011.7,0,0,11.7,2018-03-01T01:00:00,2018-03-01T06:00:00,1519884000,0,16,Overcast clouds,804,c04n,230,4.5,4.09
11.1,27.82,87,2.7,0,0,-53.26,0,n,0,1010.85,final,56,1011.675,0,0,11.1,2018-03-01T01:15:00,2018-03-01T06:15:00,1519884900,0,16,Overcast clouds,804,c04n,225,4.1,3.76
10.6,33.29,87,2.4,0,0,-51.68,0,n,0,1010.7,final,57,1011.65,0,0,10.6,2018-03-01T01:30:00,2018-03-01T06:30:00,1519885800,0,16,Overcast clouds,804,c04n,215,3.7,3.43
10,38.76,87,2.1,0,0,-50.11,0,n,0,1010.55005,final,58,1011.625,0,0,10,2018-03-01T01:45:00,2018-03-01T06:45:00,1519886700,0,16,Overcast clouds,804,c04n,210,3.3,3.1
10,44.23,87,2.6,0,0,-48.53,0,n,0,1010.4,final,60,1011.6,0,0,10,2018-03-01T02:00:00,2018-03-01T07:00:00,1519887600,0,16,Overcast clouds,804,c04n,205,2.9,2.7
10,48.36,87,2.6,0,0,-46.27,0,n,0,1010.25,final,60,1011.39996,0,0,10,2018-03-01T02:15:00,2018-03-01T07:15:00,1519888500,0,16,Overcast clouds,804,c04n,200,2.4,2.29
10,52.49,87,2.6,0,0,-44.01,0,n,0,1010.1,final,60,1011.19995,0,0,10,2018-03-01T02:30:00,2018-03-01T07:30:00,1519889400,0,16,Overcast clouds,804,c04n,195,2,1.9
10,56.61,87,2.6,0,0,-41.74,0,n,0,1009.95,final,60,1011,0,0,10,2018-03-01T02:45:00,2018-03-01T07:45:00,1519890300,0,16,Overcast clouds,804,c04n,190,1.6,1.5
9.6,60.74,78,2.2,0,0,-39.48,0,n,0,1009.8,final,60,1010.8,0,0,9.6,2018-03-01T03:00:00,2018-03-01T08:00:00,1519891200,0,16,Overcast clouds,804,c04n,195,1.7,1.65
9.2,63.94,68,2.3,0,0,-36.86,0,n,0,1009.7,final,62,1010.725,0,0,9.2,2018-03-01T03:15:00,2018-03-01T08:15:00,1519892100,0,16,Broken clouds,803,c03n,200,1.9,1.8
