app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/icon,weather/code,weather/description,wind_dir,wind_gust_spd,wind_spd
14.3,338.56,96,9.1,0,0,-62.43,0,n,0,1012.1,final,71,1013.3,0,0,14.3,2018-11-01T00:00:00,2018-11-01T04:00:00,1541044800,0,16,c04n,804,Overcast clouds,220,4.4,3.97
14.2,256.61,93,9.2,0,0,-62.7,0,n,0,1012,final,72,1013.1625,0,0,14.2,2018-11-01T00:15:00,2018-11-01T04:15:00,1541045700,0,16,c04n,804,Overcast clouds,215,4.2,3.84
14,174.67,90,9.1,0,0,-62.98,0,n,0,1011.9,final,72,1013.025,0,0,14,2018-11-01T00:30:00,2018-11-01T04:30:00,1541046600,0,16,c04n,804,Overcast clouds,215,4.1,3.72
13.9,92.72,87,9.1,0,0,-63.25,0,n,0,1011.8,final,73,1012.8875,0,0,13.9,2018-11-01T00:45:00,2018-11-01T04:45:00,1541047500,0,16,c04n,804,Overcast clouds,210,3.9,3.6
13.9,10.77,87,9.3,0,0,-63.52,0,n,0,1011.7,final,74,1012.75,0,0,13.9,2018-11-01T01:00:00,2018-11-01T05:00:00,1541048400,0,16,c04n,804,Overcast clouds,210,4.1,3.72
13.9,17.92,87,9.5,0,0,-62.3,0,n,0,1011.6,final,75,1012.6125,0,0,13.9,2018-11-01T01:15:00,2018-11-01T05:15:00,1541049300,0,16,c04n,804,Overcast clouds,205,4.2,3.84
13.9,25.07,87,9.7,0,0,-61.09,0,n,0,1011.5,final,76,1012.475,0,0,13.9,2018-11-01T01:30:00,2018-11-01T05:30:00,1541050200,0,16,c04n,804,Overcast clouds,205,4.4,3.97
13.9,32.21,87,9.7,0,0,-59.87,0,n,0,1011.4,final,76,1012.3375,0,0,13.9,2018-11-01T01:45:00,2018-11-01T05:45:00,1541051100,0,16,c04n,804,Overcast clouds,200,4.5,4.09
13.9,39.36,87,9.9,0,0,-58.65,0,n,0,1011.3,final,77,1012.2,0,0,13.9,2018-11-01T02:00:00,2018-11-01T06:00:00,1541052000,0,16,c04n,804,Overcast clouds,200,4.5,4.09
13.5,44.4,87,9.8,0,0,-56.48,0,n,0,1011.325,final,78,1012.225,0,0,13.5,2018-11-01T02:15:00,2018-11-01T06:15:00,1541052900,0,16,c04n,804,Overcast clouds,205,4.1,3.76
13.2,49.44,87,9.8,0,0,-54.32,0,n,0,1011.35,final,80,1012.25,0,0,13.2,2018-11-01T02:30:00,2018-11-01T06:30:00,1541053800,0,16,c04n,804,Overcast clouds,205,3.7,3.43
12.8,54.48,87,9.8,0,0,-52.15,0,n,0,1011.375,final,82,1012.275,0,0,12.8,2018-11-01T02:45:00,2018-11-01T06:45:00,1541054700,0,16,c04n,804,Overcast clouds,210,3.3,3.1
12.9,59.52,90,10.1,0,0,-49.98,0,n,0,1011.4,final,83,1012.3,0,0,12.9,2018-11-01T03:00:00,2018-11-01T07:00:00,1541055600,0,16,c04n,804,Overcast clouds,210,2.9,2.7
13.1,63.1,93,10.2,0,0,-47.37,0,n,0,1011.325,final,83,1012.25,0,0,13.1,2018-11-01T03:15:00,2018-11-01T07:15:00,1541056500,0,16,c04n,804,Overcast clouds,210,2.4,2.29
13.2,66.67,96,10.3,0,0,-44.76,0,n,0,1011.25,final,83,1012.19995,0,0,13.2,2018-11-01T03:30:00,2018-11-01T07:30:00,1541057400,0,16,c04n,804,Overcast clouds,210,2,1.9
13.3,70.25,100,10.5,0,0,-42.15,0,n,0,1011.175,final,83,1012.14996,0,0,13.3,2018-11-01T03:45:00,2018-11-01T07:45:00,1541058300,0,16,c04n,804,Overcast clouds,210,1.6,1.5
13.3,73.82,96,10.5,0,0,-39.54,0,n,0,1011.1,final,83,1012.1,0,0,13.3,2018-11-01T04:00:00,2018-11-01T08:00:00,1541059200,0,16,c04n,804,Overcast clouds,210,1.7,1.65
13.3,76.63,93,10.5,0,0,-36.75,0,n,0,1011.1,final,83,1012.07495,0,0,13.3,2018-11-01T04:15:00,2018-11-01T08:15:00,1541060100,0,16,c04n,804,Overcast clouds,205,1.9,1.8
13.3,79.44,90,10.5,0,0,-33.96,0,n,0,1011.1,final,83,1012.05,0,0,13.3,2018-11-01T04:30:00,2018-11-01T08:30:00,1541061000,0,16,c04n,804,Overcast clouds,205,2,1.95
13.3,82.24,87,10.5,0,0,-31.17,0,n,0,1011.1,final,83,1012.025,0,0,13.3,2018-11-01T04:45:00,2018-11-01T08:45:00,1541061900,0,16,c04n,804,Overcast clouds,200,2.2,2.1
12.9,85.05,78,10.1,0,0,-28.38,0,n,0,1011.1,final,83,1012,0,0,12.9,2018-11-01T05:00:00,2018-11-01T09:00:00,1541062800,0,16,c04n,804,Overcast clouds,200,2.2,2.1
12.5,87.51,68,9.9,0,0,-25.54,0,n,0,1011.1,final,84,1012.05,0,0,12.5,2018-11-01T05:15:00,2018-11-01T09:15:00,1541063700,0,16,c03n,803,Broken clouds,200,2.2,2.1
12.1,89.97,59,9.8,0,0,-22.71,0,n,0,1011.1,final,86,1012.1,0,0,12.1,2018-11-01T05:30:00,2018-11-01T09:30:00,1541064600,0,16,c03n,803,Broken clouds,200,2.2,2.1
11.7,92.42,50,9.8,0,0,-19.87,0,n,0,1011.1,final,88,1012.15,0,0,11.7,2018-11-01T05:45:00,2018-11-01T09:45:00,1541065500,0,16,c03n,803,Broken clouds,200,2.2,2.1
11.8,94.88,50,10.1,0,0,-17.03,0,n,0,1011.1,final,89,1012.2,0,0,11.8,2018-11-01T06:00:00,2018-11-01T10:00:00,1541066400,0,16,c03n,803,Broken clouds,205,2.6,2.47
11.9,97.24,50,10.2,0,0,-14.23,0,n,0,1011.1,final,89,1012.175,0,0,11.9,2018-11-01T06:15:00,2018-11-01T10:15:00,1541067300,0,16,c03n,803,Broken clouds,210,3.1,2.85
12.1,99.6,50,10.3,0,0,-11.43,0,n,0,1011.1,final,89,1012.15,0,0,12.1,2018-11-01T06:30:00,2018-11-01T10:30:00,1541068200,0,16,c03n,803,Broken clouds,215,3.5,3.22
12.2,101.95,50,10.4,0,0,-8.63,0,n,0,1011.1,final,89,1012.125,0,0,12.2,2018-11-01T06:45:00,2018-11-01T10:45:00,1541069100,0,16,c03n,803,Broken clouds,220,3.9,3.6
12.1,104.31,50,10.3,0,0,-5.83,0,n,0,1011.1,final,89,1012.1,0,0,12.1,2018-11-01T07:00:00,2018-11-01T11:00:00,1541070000,0,16,c03n,803,Broken clouds,220,3.5,3.22
11.9,106.76,50,10.2,8.68,73.25,-3.15,12.6,d,0,1011.1,final,89,1012.1175,0,11,11.9,2018-11-01T07:15:00,2018-11-01T11:15:00,1541070900,0,16,c03n,803,Broken clouds,220,3.1,2.85
11.8,109.21,50,10.1,17.36,146.5,-0.47,25.1,d,0,1011.1,final,89,1012.135,0,22,11.8,2018-11-01T07:30:00,2018-11-01T11:30:00,1541071800,0,16,c03n,803,Broken clouds,220,2.6,2.47
11.7,111.65,50,9.9,26.03,219.75,2.21,37.7,d,0,1011.1,final,89,1012.15247,0,33,11.7,2018-11-01T07:45:00,2018-11-01T11:45:00,1541072700,1.1,16,c03n,803,Broken clouds,220,2.2,2.1
12.2,114.1,50,10.5,34.71,293,4.89,50.2,d,0,1011.1,final,89,1012.17,0,44,12.2,2018-11-01T08:00:00,2018-11-01T12:00:00,1541073600,1.2,16,c03d,803,Broken clouds,220,2.5,2.4
12.8,116.8,50,10.8,42.8,368.69,7.36,90.5,d,0,1011.27496,final,88,1012.185,0,80,12.8,2018-11-01T08:15:00,2018-11-01T12:15:00,1541074500,1.2,16,c03d,803,Broken clouds,215,2.9,2.7
13.3,119.5,50,11,50.88,444.38,9.84,130.8,d,0,1011.44995,final,86,1012.19995,0,115,13.3,2018-11-01T08:30:00,2018-11-01T12:30:00,1541075400,1.2,16,c03d,803,Broken clouds,215,3.2,3
13.9,122.19,50,11.2,58.97,520.07,12.31,171,d,0,1011.625,final,84,1012.21497,0,151,13.9,2018-11-01T08:45:00,2018-11-01T12:45:00,1541076300,1.2,16,c03d,803,Broken clouds,210,3.6,3.3
14.4,124.89,50,11.6,67.05,595.76,14.78,211.3,d,0,1011.8,final,83,1012.23,0,186,14.4,2018-11-01T09:00:00,2018-11-01T13:00:00,1541077200,1.3,16,c03d,803,Broken clouds,210,3.9,3.6
14.6,127.99,62,11.7,71.52,628.4,16.92,250,d,0,1011.7,final,83,1012.2475,0,197,14.6,2018-11-01T09:15:00,2018-11-01T13:15:00,1541078100,1.2,16,c03d,803,Broken clouds,215,3.9,3.6
14.8,131.1,75,11.9,76,661.04,19.06,288.7,d,0,1011.6,final,83,1012.265,0,181,14.8,2018-11-01T09:30:00,2018-11-01T13:30:00,1541079000,1.1,16,c04d,804,Overcast clouds,225,3.9,3.6
15,134.2,87,12.1,80.47,693.67,21.2,327.3,d,0,1011.5,final,83,1012.2825,0,133,15,2018-11-01T09:45:00,2018-11-01T13:45:00,1541079900,0.9,16,c04d,804,Overcast clouds,230,3.9,3.6
15.7,137.3,78,12.8,84.94,726.31,23.34,366,d,0,1011.4,final,83,1012.3,0,211,15.7,2018-11-01T10:00:00,2018-11-01T14:00:00,1541080800,1.2,16,c04d,804,Overcast clouds,235,3.5,3.22
16.4,140.92,68,12.9,87.58,743.02,24.99,395.7,d,0,1011.15,final,80,1012.125,0,285,16.4,2018-11-01T10:15:00,2018-11-01T14:15:00,1541081700,1.4,16,c03d,803,Broken clouds,240,3.1,2.85
17.1,144.54,59,13.2,90.22,759.73,26.64,425.4,d,0,1010.9,final,78,1011.94995,0,346,17.1,2018-11-01T10:30:00,2018-11-01T14:30:00,1541082600,1.7,16,c03d,803,Broken clouds,245,2.6,2.47
17.8,148.16,50,13.3,92.86,776.43,28.29,455.1,d,0,1010.65,final,75,1011.77496,0,400,17.8,2018-11-01T10:45:00,2018-11-01T14:45:00,1541083500,2,16,c03d,803,Broken clouds,250,2.2,2.1
18.1,151.78,59,13.2,95.5,793.14,29.94,484.8,d,0,1010.4,final,72,1011.6,0,395,18.4,2018-11-01T11:00:00,2018-11-01T15:00:00,1541084400,1.9,16,c03d,803,Broken clouds,240,1.6,1.57
18.7,155.9,68,13.3,96.82,800.88,30.91,501.8,d,0,1010.325,final,70,1011.475,0,362,18.9,2018-11-01T11:15:00,2018-11-01T15:15:00,1541085300,1.8,16,c03d,803,Broken clouds,230,1.1,1.05
19.2,160.02,78,13.4,98.14,808.62,31.89,518.9,d,0,1010.25,final,68,1011.35,0,299,19.4,2018-11-01T11:30:00,2018-11-01T15:30:00,1541086200,1.6,16,c04d,804,Overcast clouds,220,0.5,0.52
19.8,164.14,87,13.2,99.46,816.35,32.86,535.9,d,0,1010.175,final,65,1011.225,0,216,20,2018-11-01T11:45:00,2018-11-01T15:45:00,1541087100,1.5,16,c04d,804,Overcast clouds,210,2,1.9
20,168.26,78,13,100.78,824.09,33.83,553,d,0,1010.1,final,63,1011.1,0,319,20.3,2018-11-01T12:00:00,2018-11-01T16:00:00,1541088000,1.8,16,c04d,804,Overcast clouds,200,0.8,0.77
20.3,172.64,68,13,100.96,825.14,33.98,555.4,d,0,1009.925,final,62,1010.925,0,401,20.6,2018-11-01T12:15:00,2018-11-01T16:15:00,1541088900,2,16,c03d,803,Broken clouds,190,1.6,1.55
20.6,177.03,59,13,101.15,826.19,34.12,557.9,d,0,1009.75,final,61,1010.75,0,454,20.8,2018-11-01T12:30:00,2018-11-01T16:30:00,1541089800,2.3,16,c03d,803,Broken clouds,180,2.5,2.32
20.8,181.41,50,13,101.33,827.23,34.27,560.4,d,0,1009.575,final,60,1010.575,0,493,21.1,2018-11-01T12:45:00,2018-11-01T16:45:00,1541090700,2.5,16,c03d,803,Broken clouds,170,3.3,3.1
21.1,185.79,59,13,101.51,828.28,34.41,562.9,d,0,1009.4,final,59,1010.4,0,458,21.4,2018-11-01T13:00:00,2018-11-01T17:00:00,1541091600,2.3,16,c03d,803,Broken clouds,165,3.2,2.97
21.4,190.04,68,13,100.58,822.91,33.7,550.6,d,0,1009.2,final,58,1010.17505,0,397,21.6,2018-11-01T13:15:00,2018-11-01T17:15:00,1541092500,2,16,c03d,803,Broken clouds,160,3.1,2.85
21.7,194.29,78,13,99.65,817.54,33,538.3,d,0,1009,final,57,1009.95,0,311,21.9,2018-11-01T13:30:00,2018-11-01T17:30:00,1541093400,1.7,16,c04d,804,Overcast clouds,155,2.9,2.72
21.9,198.53,87,13,98.72,812.16,32.29,526,d,0,1008.8,final,56,1009.725,0,212,22.2,2018-11-01T13:45:00,2018-11-01T17:45:00,1541094300,1.4,16,c04d,804,Overcast clouds,150,2.8,2.6
21.9,202.78,87,12.7,97.79,806.79,31.58,513.7,d,0,1008.6,final,55,1009.5,0,208,22.2,2018-11-01T14:00:00,2018-11-01T18:00:00,1541095200,1.4,16,c04d,804,Overcast clouds,145,2.8,2.6
21.8,206.58,87,12.9,95.63,793.52,30.14,487.9,d,0,1008.55,final,56,1009.45,0,197,22,2018-11-01T14:15:00,2018-11-01T18:15:00,1541096100,1.3,16,c04d,804,Overcast clouds,140,2.8,2.6
21.6,210.38,87,12.7,93.46,780.24,28.69,462.1,d,0,1008.5,final,56,1009.4,0,187,21.9,2018-11-01T14:30:00,2018-11-01T18:30:00,1541097000,1.2,16,c04d,804,Overcast clouds,135,2.8,2.6
21.4,214.17,87,12.8,91.3,766.97,27.25,436.3,d,0,1008.45,final,57,1009.35,0,176,21.7,2018-11-01T14:45:00,2018-11-01T18:45:00,1541097900,1.2,16,c04d,804,Overcast clouds,130,2.8,2.6
21.1,217.97,87,12.8,89.13,753.69,25.8,410.5,d,0,1008.4,final,58,1009.3,0,166,21.4,2018-11-01T15:00:00,2018-11-01T19:00:00,1541098800,1.1,16,c04d,804,Overcast clouds,125,2.9,2.72
20.9,221.23,87,13.1,85.37,727.72,23.8,374.3,d,0,1008.47504,final,60,1009.4,0,151,21.1,2018-11-01T15:15:00,2018-11-01T19:15:00,1541099700,1,16,c04d,804,Overcast clouds,120,3.1,2.85
