app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather/icon,weather/code,weather/description,wind_dir,wind_gust_spd,wind_spd
17.5,341.36,59,14,0,0,-51.22,0,n,0,1025,final,80,1025.9,0,0,17.5,2018-10-01T00:00:00,2018-10-01T04:00:00,1538366400,0,16,c03n,803,Broken clouds,195,2.5,2.32
17.3,257.43,68,14,0,0,-51.55,0,n,0,1024.975,final,81,1025.8625,0,0,17.3,2018-10-01T00:15:00,2018-10-01T04:15:00,1538367300,0,16,c03n,803,Broken clouds,200,1.6,1.55
17,173.5,78,13.9,0,0,-51.88,0,n,0,1024.95,final,82,1025.825,0,0,17,2018-10-01T00:30:00,2018-10-01T04:30:00,1538368200,0,16,c04n,804,Overcast clouds,200,0.8,0.77
16.7,89.57,87,13.6,0,0,-52.21,0,n,0,1024.925,final,82,1025.7875,0,0,16.7,2018-10-01T00:45:00,2018-10-01T04:45:00,1538369100,0,16,c04n,804,Overcast clouds,205,2.5,2.4
16.7,5.64,87,13.8,0,0,-52.54,0,n,0,1024.9,final,83,1025.75,0,0,16.7,2018-10-01T01:00:00,2018-10-01T05:00:00,1538370000,0,16,c04n,804,Overcast clouds,210,0.4,0.37
16.7,11.45,87,14,0,0,-51.69,0,n,0,1024.875,final,84,1025.7125,0,0,16.7,2018-10-01T01:15:00,2018-10-01T05:15:00,1538370900,0,16,c04n,804,Overcast clouds,215,0.8,0.75
16.7,17.25,87,14,0,0,-50.85,0,n,0,1024.8501,final,84,1025.675,0,0,16.7,2018-10-01T01:30:00,2018-10-01T05:30:00,1538371800,0,16,c04n,804,Overcast clouds,215,1.2,1.12
16.7,23.06,87,14.2,0,0,-50,0,n,0,1024.8251,final,85,1025.6375,0,0,16.7,2018-10-01T01:45:00,2018-10-01T05:45:00,1538372700,0,16,c04n,804,Overcast clouds,220,1.6,1.5
16.7,28.86,78,14.3,0,0,-49.15,0,n,0,1024.8,final,86,1025.6,0,0,16.7,2018-10-01T02:00:00,2018-10-01T06:00:00,1538373600,0,16,c04n,804,Overcast clouds,220,1.6,1.5
16.7,33.6,68,14.3,0,0,-47.38,0,n,0,1024.675,final,86,1025.5,0,0,16.7,2018-10-01T02:15:00,2018-10-01T06:15:00,1538374500,0,16,c03n,803,Broken clouds,220,1,1
16.7,38.35,59,14.3,0,0,-45.62,0,n,0,1024.55,final,86,1025.3999,0,0,16.7,2018-10-01T02:30:00,2018-10-01T06:30:00,1538375400,0,16,c03n,803,Broken clouds,220,0.5,0.5
16.7,43.09,50,14.3,0,0,-43.85,0,n,0,1024.425,final,86,1025.2999,0,0,16.7,2018-10-01T02:45:00,2018-10-01T06:45:00,1538376300,0,16,c03n,803,Broken clouds,220,3,2.8
16.4,47.83,50,14.1,0,0,-42.08,0,n,0,1024.3,final,86,1025.2,0,0,16.4,2018-10-01T03:00:00,2018-10-01T07:00:00,1538377200,0,16,c03n,803,Broken clouds,220,0.4,0.37
16.1,51.53,50,14,0,0,-39.75,0,n,0,1024.3,final,87,1025.2,0,0,16.1,2018-10-01T03:15:00,2018-10-01T07:15:00,1538378100,0,16,c03n,803,Broken clouds,220,0.8,0.75
15.9,55.23,50,13.9,0,0,-37.41,0,n,0,1024.3,final,88,1025.2,0,0,15.9,2018-10-01T03:30:00,2018-10-01T07:30:00,1538379000,0,16,c03n,803,Broken clouds,220,1.2,1.12
15.6,58.93,50,13.6,0,0,-35.08,0,n,0,1024.3,final,88,1025.2,0,0,15.6,2018-10-01T03:45:00,2018-10-01T07:45:00,1538379900,0,16,c03n,803,Broken clouds,220,1.6,1.5
15.7,62.63,59,13.9,0,0,-32.74,0,n,0,1024.3,final,89,1025.2,0,0,15.7,2018-10-01T04:00:00,2018-10-01T08:00:00,1538380800,0,16,c03n,803,Broken clouds,220,1.6,1.5
15.8,65.63,68,14.2,0,0,-30.1,0,n,0,1024.3,final,90,1025.25,0,0,15.8,2018-10-01T04:15:00,2018-10-01T08:15:00,1538381700,0,16,c03n,803,Broken clouds,220,1.6,1.5
16,68.62,78,14.5,0,0,-27.45,0,n,0,1024.3,final,91,1025.3,0,0,16,2018-10-01T04:30:00,2018-10-01T08:30:00,1538382600,0,16,c04n,804,Overcast clouds,220,1.6,1.5
16.1,71.62,87,14.8,0,0,-24.81,0,n,0,1024.3,final,92,1025.35,0,0,16.1,2018-10-01T04:45:00,2018-10-01T08:45:00,1538383500,0,16,c04n,804,Overcast clouds,220,1.6,1.5
16.3,74.61,90,15.1,0,0,-22.16,0,n,0,1024.3,final,93,1025.4,0,0,16.3,2018-10-01T05:00:00,2018-10-01T09:00:00,1538384400,0,16,c04n,804,Overcast clouds,225,1.2,1.12
16.4,77.22,93,15.3,0,0,-19.37,0,n,0,1024.375,final,93,1025.475,0,0,16.4,2018-10-01T05:15:00,2018-10-01T09:15:00,1538385300,0,16,c04n,804,Overcast clouds,230,0.8,0.75
